id,Linkin Nimi,Linkin Kuvaus,Linkin hallintaorg,UniqueNimi,Kieli,Kohde (Organisaatio),Url
261,asuminenalasivu,testi,Infopankki,asuminenalasivu,fi,asuminen.fi,http://www.asuminen.fi/fi-FI
262,sanakirja,testi,Infopankki,sanakirja,fi,sanakirja,https://www.sanakirja.org/search.php?id=103147
263,virsikantele,test,Infopankki,virsikantele,fi,museo,http://suomenmuseotonline.fi/fi/kohde/Suomen+kansallismuseo/K7380%3A84?pathId=1.90.1693.1698.1701.&itemIndex=7
264,kuntoutus,testi,Infopankki,kuntoutus,fi,kela,http://www.kela.fi/in/internet/suomi.nsf/NET/101011092615HL?OpenDocument
267,Avioliiton solmiminen,Vantaa,Infopankki,Avioliiton solmiminen,fi,Digi- ja väestötietovirasto,https://dvv.fi/vihkiminen
268,Yhteystiedot,testi,Infopankki,Yhteystiedot,fi,Maistraatti,https://dvv.fi/yhteystiedot
271,Parisuhteen rekisteröiminen,testi,Infopankki,Parisuhteen rekisteröiminen,fi,Maistraatti,https://dvv.fi/vihkiminen
274,Synnytyssairaaloiden päivystys,testi,Infopankki,Synnytyssairaaloiden päivystys,fi,HUS,http://www.hus.fi/default.asp?path=1;32;660;546;570;1121;807;1135;31485;31487;31488&voucher=BAEAFD4A-EFD5-4F15-973E-87909EC10143
275,Synnytyssairaaloiden yhteystiedot,testi,Infopankki,Synnytyssairaaloiden yhteystiedot,fi,HUS,"http://www.hus.fi/default.asp?path=59,403,5831,6172"
276,Lapsiperheiden tuet,testi,Infopankki,Lapsiperheiden tuet,fi,Kela,https://www.kela.fi/lapsiperheet
278,Asiointi verkossa,testi,Infopankki,Asiointi verkossa,fi,Kela,https://www.kela.fi/omakela
281,Kriisikeskus netissä,testi,Infopankki,Kriisikeskus netissä,fi,Tukinet.net,https://tukinet.net/
288,Asunnon vuokraaminen,Asuminen ,Infopankki,Asunnon vuokraaminen,fi,Kilpailu- ja kuluttajavirasto,https://www.kkv.fi/Tietoa-ja-ohjeita/Ostaminen-myyminen-ja-sopimukset/asunnon-vuokraaminen/
292,Tietoa museonäyttelyistä,Vapaa-aika TEST,Infopankki,Tietoa museonäyttelyistä,fi,Suomen museoliitto ry,https://museot.fi/
294,Tietoa kielilaista,Suomen ja ruotsin kieli,Infopankki,Tietoa kielilaista,fi,Oikeusministeriö,https://oikeusministerio.fi/kielelliset-oikeudet
296,Suomen perustuslaki,Asettuminen Suomeen,Infopankki,Suomen perustuslaki,fi,Oikeusministeriö,https://oikeusministerio.fi/perustuslaki
298,Tietoa demokratiasta Suomessa,Asettuminen Suomeen,Infopankki,Tietoa demokratiasta Suomessa,fi,Oikeusministeriö,https://oikeusministerio.fi/demokratia-ja-osallistuminen
