sivun_id;Kieli;Nimi valikossa;Kuvaus;URL;Dokumentin ID;Dokumentin nimi
004dc81b-92ed-4b12-bc7a-84aa31909c3d;fi;Lait ja oikeudet;;fi/tietoa-suomesta/suomalainen-yhteiskunta/lait-ja-oikeudet;981;Lait ja oikeudet 101
4f92a32c-cb64-456e-af46-84e7792ab37f;fi;Tasa-arvo ja yhdenvertaisuus;;fi/tietoa-suomesta/suomalainen-yhteiskunta/tasa-arvo-ja-yhdenvertaisuus;982;Tasa-arvo ja yhdenvertaisuus Suomessa 101
19f1acbc-1dc9-4587-9271-9a4bc56aab6f;fi;Tärkeitä viranomaisia;;fi/tietoa-suomesta/suomalainen-yhteiskunta/tarkeita-viranomaisia;984;Tärkeitä viranomaisia 101
3137fa34-a659-49be-8a96-c778599eaed2;fi;Soita ja kysy neuvoa;;fi/tietoa-suomesta/soita-ja-kysy-neuvoa;983;Soita ja kysy 101
1565ab29-3d83-4a47-b440-b8d239521fc1;fi;Kaupungit;;paikallistieto;7677;Kaupungit 101
38314e32-cb4c-4a28-afe0-51cda79122ed;fi;Helsinki;;fi/helsinki*;;
63fe82f7-ec4e-46ac-a519-9841614a9dd0;fi;Muutto Helsinkiin;;fi/helsinki/muutto-helsinkiin;1263;Muutto Helsinkiin 101
d2b68cda-a0a3-4d6f-b1b6-f63c7f813cec;fi;Elämä Helsingissä;;fi/helsinki/elama-helsingissa;;
4363dc60-c45f-4f28-a24f-93050ebb4fbe;fi;Asettuminen Helsinkiin;;fi/helsinki/elama-helsingissa/asettuminen-helsinkiin;1266;Maahanmuuttajana Helsingissä 101
453d825d-011c-4fcb-b0d4-e13fc4fc4eff;fi;Työ ja yrittäjyys Helsingissä;;fi/helsinki/elama-helsingissa/tyo-ja-yrittajyys-helsingissa;7643;Työ ja yrittäjyys Helsingissä, uusi
12019317-5121-4915-9032-4aa324308da6;fi;Suomen ja ruotsin kieli Helsingissä;;fi/helsinki/elama-helsingissa/suomen-ja-ruotsin-kieli-helsingissa;1269;Suomen ja ruotsin kieli Helsingissä 101
