sivun_id;Kieli;Nimi valikossa;Kuvaus;URL;Dokumentin ID;Dokumentin nimi
02ae3f57-f036-4593-8448-7ebd336a4a6f;en;Integration into Finland;;en/living-in-finland/settling-in-finland/integration-into-finland;1381;Kotoutuminen Suomeen 101 (en)
2c338ccc-352f-4d67-824a-306413e21b5a;en;Everyday life in Finland;;en/living-in-finland/settling-in-finland/everyday-life-in-finland;7439;Arkielämä Suomessa 101 (en)
2865ba69-c962-40ed-8d65-bcdf5b2cdcba;en;Cost of living in Finland;;en/living-in-finland/settling-in-finland/cost-of-living-in-finland;8103;Hintataso Suomessa 101 (en)
496efaf0-70e8-4c63-b2b8-73584fdfdd6d;en;Do you need an interpreter?;;en/living-in-finland/settling-in-finland/do-you-need-an-interpreter;1395;Tarvitsetko tulkkia? 101 (en)
fb0c05a9-ff56-4a7a-a8a2-f46240a005b7;en;Your rights and obligations in Finland;;en/living-in-finland/settling-in-finland/your-rights-and-obligations-in-finland;1409;Oikeutesi ja velvollisuutesi Suomessa 101 (en)
b9b26068-b383-40ea-b36a-cb30f5e1033a;en;Finnish social security;;en/living-in-finland/settling-in-finland/finnish-social-security;1437;Suomen sosiaaliturva 101 (en)
de90a37a-b2cd-4ad4-9eda-ba221e91fe9a;en;Finnish citizenship;;en/living-in-finland/settling-in-finland/finnish-citizenship;1619;Suomen kansalaisuus 101 (en)
9e1bbcbb-3024-4047-9c2a-12f82b5d7dcb;en;How to apply for Finnish citizenship?;;en/living-in-finland/settling-in-finland/finnish-citizenship/how-to-apply-for-finnish-citizenship;1647;Miten Suomen kansalaisuutta voi hakea? 101 (en)
97a59b9d-123c-4250-8750-05efbd4defff;en;The rights and obligations of Finnish citizens;;en/living-in-finland/settling-in-finland/finnish-citizenship/the-rights-and-obligations-of-finnish-citizens;1703;Suomen kansalaisen oikeudet ja velvollisuudet 101 (en)
3362efaa-dc06-4bca-8de0-015d80113b34;en;Moving away from Finland;;en/living-in-finland/settling-in-finland/moving-abroad-from-finland;1814;Muutto Suomesta ulkomaille 101 (en)
59e2b307-7109-4eb5-81af-03d56ac96522;en;Work and Enterprise ;Where to find work? | Starting a business | Obligations of the entrepreneur | Rights of the entrepreneur | Finnish company culture | Support for the entrepreneur | Taxation | Employee’s rights and obligations | Employer’s rights and obligations | Foreign diploma or degree in Finland | Unemployment benefit | Pension | Finnish working culture;en/living-in-finland/work-and-enterprise;;
79d43554-a588-46cb-a5e5-5e3d8b20e65d;en;Find a job in Finland;Work|Vacancies|Jobseekers|Employment services;en/living-in-finland/work-and-enterprise/where-to-find-work;1883;Mistä työtä? 101 (en)
7fafb9d3-1ea8-46d1-bde5-b0d366285a7a;en;Job application and CV;Work|Resumes|Cv|Job application|Vacancies|Job interviews;en/living-in-finland/work-and-enterprise/where-to-find-work/job-application-and-cv;1911;Työhakemus ja CV 101 (en)
7fe79908-1359-4389-9e7a-c984d2d4f55e;en;Foreign diploma or degree in Finland;Work|Recognition of qualifications|Recognition of a degree|Foreign degrees;en/living-in-finland/work-and-enterprise/foreign-diploma-or-degree-in-finland;3202;Ulkomaiset tutkinnot Suomessa 101 (en)
653271ce-765f-490b-ab63-86ac2729e5bc;en;Employee’s rights and obligations;Work|Employees' rights;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations;2219;Työntekijän oikeudet ja velvollisuudet 101 (en)
3a70d1dd-c4bb-4c7c-9482-967774e943b9;en;Equality and equal opportunities in working life;Work|Equality|Equal opportunities;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/equality-and-equal-opportunities-in-working-life;2233;Yhdenvertaisuus ja tasa-arvo työelämässä 101 (en)
91b2bf68-e648-4733-8bdc-8294b4bd0e59;en;Conditions of employment and salary in Finland;Work|Employment contracts|Collective labour agreements ;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/conditions-of-employment-and-salary-in-finland;2247;Työsuhteen ehdoista sopiminen 101 (en)
e865cf7a-3137-4a8f-ab99-ff6710867e98;en;Contents of a contract of employment;Work|Employment contracts;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/contents-of-a-contract-of-employment;2261;Työsopimuksen sisältö 101 (en)
c02fd953-3f3c-4165-8343-a1a8eb38214b;en;Annual holidays;Work|;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/annual-holidays;8075;Vuosiloma 101 (en)
d10ce58f-1117-492e-a3f3-9841e13d2286;en;Trade unions;Work|Trade unions|Unemployment benefit societies|Unemployment fund;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/trade-unions;2275;Ammattiliitot 101 (en)
34fddd90-0389-48ae-b3dd-2fc18fbb1f2a;en;Health and safety at work;Work|Labour protection;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/health-and-safety-at-work;2289;Työsuojelu 101 (en)
8a877873-8c58-48ed-9948-8ed70182ca16;en;Occupational health care;Work|Occupational health;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/occupational-health-care;2303;Työterveyshuolto 101 (en)
